,Label,Outcome
2678,Adverse-effects,blood pressure (BP)
2719,Adverse-effects,drug interactions
2679,Adverse-effects,eosinophilia
2681,Adverse-effects,"apnea occurring for more than 30 seconds, involuntary movements, limb hypertonus"
2682,Adverse-effects,enuresis
2683,Adverse-effects,no subject developed a serious adverse event
2684,Adverse-effects,No acute renal failure
2685,Adverse-effects,Rates of serious adverse events
2686,Adverse-effects,recurrent ventricular tachyarrhythmias
2687,Adverse-effects,risk of a first stroke
2688,Adverse-effects,Dizziness
2689,Adverse-effects,migraine headache
2690,Adverse-effects,efficacy and safety
2691,Adverse-effects,easy bruising and impairment in skin healing
2680,Adverse-effects,effects on sodium and water excretion
2667,Adverse-effects,interference with clotting functions
2720,Adverse-effects,nonfatal myocardial infarction
2722,Adverse-effects,"vital signs, electrocardiogram, electroencephalogram, adverse events, laboratory tests, extrapyramidal symptoms and the side effects"
2751,Adverse-effects,ipsilateral glomerular filtration rate
2752,Adverse-effects,number of infants with respiratory distress syndrome
2753,Adverse-effects,morbidity or incapacity for work
2754,Adverse-effects,significant vaccine-induced side effects
2755,Adverse-effects,relapse-free survival
2756,Adverse-effects,dose-limiting toxicity or adverse events
2757,Adverse-effects,adverse clinical events
2758,Adverse-effects,reduced virologic failure
2759,Adverse-effects,important side effects
2760,Adverse-effects,adverse events (AE)
2761,Adverse-effects,serious AE
2762,Adverse-effects,incidence of ABC-related hypersensitivity reactions
2763,Adverse-effects,grade 3/4 toxicity
2764,Adverse-effects,metabolic profile
2765,Adverse-effects,"percentages of OKT3+, OKT4+, OKT8+ cells in the peripheral blood"
2766,Adverse-effects,LAK activities
2767,Adverse-effects,vasospasm
2768,Adverse-effects,"peak serum E (2) concentration, days of stimulation with rFSH, total number of M2 oocytes retrieved, number of embryos transferred, clinical pregnancy rates, and cancellation rates"
2769,Adverse-effects,minimal toxicity
2770,Adverse-effects,post-operative infective complications
2771,Adverse-effects,"Enterobacter species, Klebsiella species, Enterococcus faecalis, and Aeromonas hydrophila"
2772,Adverse-effects,severe respiratory failure
2773,Adverse-effects,side effects or patient satisfaction
2750,Adverse-effects,Large (C1) and small artery elasticity (C2)
2749,Adverse-effects,transepidermal water loss
2748,Adverse-effects,"edema, gastrointestinal problems, and rash"
2747,Adverse-effects,dose limiting toxicities
2723,Adverse-effects,Grade 3/4 haematological toxicities
2724,Adverse-effects,"infection rates, drug toxicity"
2725,Adverse-effects,"weight gain, fluid retention and dyspnea"
2726,Adverse-effects,"maternal side-effects including nausea, vomiting, pruritus, urinary retention, shivering, hypotension, and respiratory depression"
2727,Adverse-effects,subjective signs of central nervous system side effects
2728,Adverse-effects,adverse clinical effects
2729,Adverse-effects,mild residue
2730,Adverse-effects,estimated blood loss
2731,Adverse-effects,Grade > or = 3 toxicities
2732,Adverse-effects,total metabolic effect of glibenclamide
2733,Adverse-effects,"maternal or fetal infectious morbidity, respiratory distress syndrome, necrotizing enterocolitis"
2721,Adverse-effects,infectious side effects
2734,Adverse-effects,improvement of psychiatric symptoms
2736,Adverse-effects,"(anorexia, nausea, vomiting, upper abdominal pain, postprandial bloating, abdominal fullness, early satiety, belching, heartburn, regurgitation)"
2737,Adverse-effects,improved
2738,Adverse-effects,AMH levels
2739,Adverse-effects,excessive blood loss
2740,Adverse-effects,acute venodilator effect
2741,Adverse-effects,mental state
2742,Adverse-effects,hypertension related AE
2743,Adverse-effects,glycemic excursions
2744,Adverse-effects,trace element (TE)
2745,Adverse-effects,emesis
2746,Adverse-effects,metal allergy
2735,Adverse-effects,symptoms and urinary flow parameters
2774,Adverse-effects,diarrhoea and alopecia
2666,Adverse-effects,Hydrocele
2664,Adverse-effects,"Complication rates, and involvement of circumferential and radial margins"
2586,Adverse-effects,peak flow
2587,Adverse-effects,changes in PF and FEV1
2588,Adverse-effects,side-effects
2589,Adverse-effects,Lead-time based on advanced prostate cancer
2590,Adverse-effects,seroconversion rate
2591,Adverse-effects,sCD44v6 expression
2592,Adverse-effects,Postoperative infectious complications
2593,Adverse-effects,screw/neck angle deviation
2594,Adverse-effects,unpleasantness of taste
2595,Adverse-effects,safety and adverse-event profile
2596,Adverse-effects,growth hormone concentrations
2597,Adverse-effects,bivariate random effects model
2598,Adverse-effects,less adverse effects
2599,Adverse-effects,"adverse events (AE), serious AE, and infections"
2600,Adverse-effects,serious bleeding events
2601,Adverse-effects,systemic effects of ICS therapy
2602,Adverse-effects,adverse reaction
2603,Adverse-effects,Hospital stay
2604,Adverse-effects,Side effects were reported by five patients receiving triple therapy ( skin rash
2605,Adverse-effects,hazard reduction
2606,Adverse-effects,nonfatal myocardial infarction at 30 days
2607,Adverse-effects,WHO grade 4 toxicity
2608,Adverse-effects,scalp distribution of ERP
2585,Adverse-effects,gastric lesions
2584,Adverse-effects,emergency department visits
2583,Adverse-effects,minor skin irritation at the application site -- mostly
2582,Adverse-effects,Acidosis
2558,Adverse-effects,active androgen level
2559,Adverse-effects,pain
2560,Adverse-effects,Grades 3 and 4 toxicities
2561,Adverse-effects,natural killer and lymphokine-activated killer cell cytotoxicity
2562,Adverse-effects,Gastric emptying
2563,Adverse-effects,sexual risk behaviors
2564,Adverse-effects,neck-shaft angle
2565,Adverse-effects,prodromal signs of ototoxicity
2566,Adverse-effects,bruising
2567,Adverse-effects,depressed
2568,Adverse-effects,weight loss of root substance
2609,Adverse-effects,serious AE ( mild affect lability
2569,Adverse-effects,edema
2571,Adverse-effects,profile of side-effects. No signs of abrupt dissipation of the achieved clinical effects
2572,Adverse-effects,Apnoea
2573,Adverse-effects,Incidents of side effects
2574,Adverse-effects,free of infection
2575,Adverse-effects,potential vitamin A toxicity
2576,Adverse-effects,Local septic complications
2577,Adverse-effects,major adverse cardiac event
2578,Adverse-effects,presumed therapy related encephalopathy
2579,Adverse-effects,treatment side-effects
2580,Adverse-effects,cell numbers or soluble mediators
2581,Adverse-effects,faster healing of the persistent corneal epithelial defects
2570,Adverse-effects,thromboembolic events and major bleeding
2665,Adverse-effects,important side effects
2610,Adverse-effects,phagocytose unopsonized Candida albicans
2612,Adverse-effects,recurrent meningeal infections
2641,Adverse-effects,Tumors cleared or the target tumor area
2642,Adverse-effects,homeostasis model assessment-insulin resistance
2643,Adverse-effects,morphine used in the first 24 hours
2644,Adverse-effects,Pregnancy
2645,Adverse-effects,Disease recurrence
2646,Adverse-effects,persistent corneal epithelial defects
2647,Adverse-effects,imitation
2648,Adverse-effects,elevations of aminotransferases
2649,Adverse-effects,urethral strictures
2650,Adverse-effects,analgesic effect
2651,Adverse-effects,"depression, anxiety, and self-esteem"
2652,Adverse-effects,minimal side effect
2653,Adverse-effects,release of active t-PA
2654,Adverse-effects,efficacy and toxicity
2655,Adverse-effects,bleeding pattern
2656,Adverse-effects,slow accrual
2657,Adverse-effects,clinical benefit rate
2658,Adverse-effects,QOL improvement
2659,Adverse-effects,prophylactic effect
2660,Adverse-effects,fever or severe gastrointestinal symptoms
2661,Adverse-effects,clinically relevant effect
2662,Adverse-effects,infection after biopsy
2663,Adverse-effects,"nausea, shaking, lightheadedness, urinary retention, or bleeding"
2640,Adverse-effects,informed consent
2639,Adverse-effects,catD and PR expression
2638,Adverse-effects,Motor block
2637,Adverse-effects,risk of nosocomial complications
2613,Adverse-effects,severe postoperative pain
2614,Adverse-effects,dehydration
2615,Adverse-effects,"cocaine use, craving for cocaine, and psychiatric symptoms"
2616,Adverse-effects,Blood pressure behaviour
2617,Adverse-effects,tissue trace element concentrations
2618,Adverse-effects,increasing complications
2619,Adverse-effects,pseudotumor cerebri
2620,Adverse-effects,hyperactivity
2621,Adverse-effects,P3 amplitudes at Pz
2622,Adverse-effects,Craving reduction
2623,Adverse-effects,few side effects
2611,Adverse-effects,severity of infections
2624,Adverse-effects,rate of catheter-related bloodstream infections
2626,Adverse-effects,"chronic changes in myocardium, pericardium or cardiac valves"
2627,Adverse-effects,"Individual and total fecal SCFA excretion, weight, and moisture"
2628,Adverse-effects,negative consequences of drinking
2629,Adverse-effects,severity
2630,Adverse-effects,"adverse events, laboratory tests, and vital signs"
2631,Adverse-effects,motor block
2632,Adverse-effects,prevalence of metal allergy
2633,Adverse-effects,lymphopenia
2634,Adverse-effects,liver volumes
2635,Adverse-effects,frequency or severity of opioid-related adverse effects
2636,Adverse-effects,"Peak E (2) levels, days of stimulation with rFSH, total rFSH dosage, total number of oocytes retrieved, M2 oocytes retrieved, total number of embryos, number of embryos transferred, number of Grade-1 embryos transferred, clinical pregnancy rate (positive fetal cardiac activity), and cancellation rates of stimulation and embryo transfer"
2625,Adverse-effects,"prototypic micro-like opioid subjective effects, impaired psychomotor performance, and produced analgesia"
2775,Adverse-effects,rate of progression of complications
2776,Adverse-effects,bacteriological treatment failures (and relapses)
2777,Adverse-effects,social competence
2917,Adverse-effects,gastric emptying
2918,Adverse-effects,Caries preventive effects
2919,Adverse-effects,postoperative morbidity
2920,Adverse-effects,serious adverse effects
2921,Adverse-effects,Serious late complication rates
2922,Adverse-effects,Rates of infection
2923,Adverse-effects,joint attention
2924,Adverse-effects,femoral-arterial thrombosis
2925,Adverse-effects,"injection/infusion site, dizziness, pruritus, headache, fatigue, and nausea"
2926,Adverse-effects,mean scores of fatigue
2927,Adverse-effects,alter the dismal prognosis
2928,Adverse-effects,decreased paracetamol absorption
2929,Adverse-effects," diarrhea, and nausea"
2930,Adverse-effects,neuropsychologic events
2931,Adverse-effects,aseptic sternal complications
2932,Adverse-effects,increased social interactions
2933,Adverse-effects,"erythema, edema, induration, vesicles, erosion, ulceration, excoriation, and scabbing"
2934,Adverse-effects,recurrent tuberculosis
2935,Adverse-effects,recurrence of manic
2936,Adverse-effects,"anemia, leukopenia, neutropenia, thrombocytopenia, fatigue, constipation and arthralgias/myalgias"
2937,Adverse-effects,withdrawal symptoms
2938,Adverse-effects,protection against influenza A2 infection
2939,Adverse-effects,pressure
2916,Adverse-effects,strictures
2915,Adverse-effects,Lp (a)
2914,Adverse-effects,Mild side effects of minor superficial bleeding or irritability during acupuncture
2913,Adverse-effects,good maintenance of treatment effects
2889,Adverse-effects,parents VAS
2890,Adverse-effects,clinical course
2891,Adverse-effects,fewer side effects
2892,Adverse-effects,PA/Ao pressure
2893,Adverse-effects,ovulation being induced
2894,Adverse-effects,petechial rash
2895,Adverse-effects,Clinical pregnancy rates
2896,Adverse-effects,Venous blood samples
2897,Adverse-effects,Nephrotoxicity developed
2898,Adverse-effects,ability of peripheral blood mononuclear cells to produce IL-2 or IL-4
2899,Adverse-effects,anaemia
2940,Adverse-effects,lower rate of wound complications
2900,Adverse-effects,significant amount of weight
2902,Adverse-effects,"lower stressor task heart rate, reduced systolic (but not diastolic) blood pressure"
2903,Adverse-effects,daytime drowsiness
2904,Adverse-effects,swelling
2905,Adverse-effects,inhibitory effects
2906,Adverse-effects,proliferative potency
2907,Adverse-effects,adverse event experience
2908,Adverse-effects,target lesion revascularization
2909,Adverse-effects,amputations
2910,Adverse-effects,severe hematological toxicity
2911,Adverse-effects,Spontaneous EEG
2912,Adverse-effects,grade 3 and 4 toxicities
2901,Adverse-effects,severe adverse drug reactions
2888,Adverse-effects,time to definitive weight loss and time to definitive worsening of appetite
2941,Adverse-effects,post-operative complications
2943,Adverse-effects,ST depression
2972,Adverse-effects,prostate specific antigen relapse-free survival rates
2973,Adverse-effects,Plasma and tissue antioxidant status
2974,Adverse-effects,decreasing blood pressure
2975,Adverse-effects,24-h bleeding
2976,Adverse-effects,renal plasma flow
2977,Adverse-effects,symptomatic VTE or major bleeding events
2978,Adverse-effects,Sensitivity and criterion changes
2979,Adverse-effects,esophageal variceal recurrence
2980,Adverse-effects,sepsis incidence
2981,Adverse-effects,minor effect
2982,Adverse-effects,stricture formation
2983,Adverse-effects,mortality and morbidity
2984,Adverse-effects,similar risks
2985,Adverse-effects,aggravation or recurrence of psychiatric symptoms
2986,Adverse-effects,Ventilation pattern
2987,Adverse-effects,subjective relief
2988,Adverse-effects,"infection, dehiscence, pain, closure time, and other adverse events"
2989,Adverse-effects,anti-serotonin drugs
2990,Adverse-effects,complication rate
2991,Adverse-effects,incidence of adverse events
2992,Adverse-effects,frequency of early postoperative infections
2993,Adverse-effects,gout attacks
2994,Adverse-effects,mean arterial carboxyhemoglobin level
2971,Adverse-effects,Light-for-gestational age (LGA)
2970,Adverse-effects,evolution of the New York Heart Association stage
2969,Adverse-effects,Lymphocele
2968,Adverse-effects,Adverse reactions
2944,Adverse-effects,BOP
2945,Adverse-effects,UVB-induced hyperpigmentation
2946,Adverse-effects,Mean airway resistance
2947,Adverse-effects,volume growth
2948,Adverse-effects,skin bruising
2949,Adverse-effects,Weakness
2950,Adverse-effects,Red man syndrome
2951,Adverse-effects,reliability and durability of positive treatment effects
2952,Adverse-effects,determinant of motor block
2953,Adverse-effects,risk for epileptic seizures
2954,Adverse-effects,incidence of adverse drug reactions
2942,Adverse-effects,MACE
2955,Adverse-effects,"drowsiness, fatigue, anticholinergic symptoms, and walking difficulties"
2957,Adverse-effects,risk of ototoxicity
2958,Adverse-effects,MH problems
2959,Adverse-effects,not beneficial and may even be harmful
2960,Adverse-effects,severe adverse effects
2961,Adverse-effects,restenosis rates
2962,Adverse-effects,epigastric impedance
2963,Adverse-effects,Complication rates
2964,Adverse-effects,time-by-treatment interaction
2965,Adverse-effects,severe heart failure
2966,Adverse-effects,corneal decompensation. Cystoid macular edema
2967,Adverse-effects,"adverse clinical, virologic, or neuropsychologic events"
2956,Adverse-effects,Minor and major bleeding problems
2887,Adverse-effects,GCC
2886,Adverse-effects,drug-related increase in daytime somnolence
2885,Adverse-effects,Hematologic toxicity
2806,Adverse-effects,Mean airway pressure
2807,Adverse-effects,greater weight loss
2808,Adverse-effects,"skeletal fractures, cardiovascular events, other cancers, or treatment-related deaths"
2809,Adverse-effects,mean duration of crying
2810,Adverse-effects,nausea and/or vomiting
2811,Adverse-effects,complication of renal damage
2812,Adverse-effects,tremor score
2813,Adverse-effects,sun protection behaviors
2814,Adverse-effects,QoL
2815,Adverse-effects,Systolic blood pressure
2816,Adverse-effects,development of lymphocele
2817,Adverse-effects,mean eggs per gram of feces
2818,Adverse-effects,postoperative nausea and vomiting
2819,Adverse-effects,grade 3+4 neutropenia
2820,Adverse-effects,untoward event
2821,Adverse-effects,myocardial infarction
2822,Adverse-effects,UKU side-effect scale
2823,Adverse-effects,haemorrhagic episode
2824,Adverse-effects,bleed
2825,Adverse-effects,incidence of acute graft rejection
2826,Adverse-effects,posttransplant diabetes mellitus
2827,Adverse-effects,immediate (anaphylactic type) or delayed (serum sickness) allergic reactions
2828,Adverse-effects,redness
2805,Adverse-effects,incidence of grade 2+ sensory neuropathy (SN) toxicity (CTCAE v 3.0)
2804,Adverse-effects,SBP drop
2803,Adverse-effects,mucotoxicity
2802,Adverse-effects,The hazard ratio for hospitalization
2778,Adverse-effects,no complications
2779,Adverse-effects,median ( > 9 ) baseline drinking day frequency
2780,Adverse-effects,total adverse events
2781,Adverse-effects,decrease in delta value
2782,Adverse-effects,effect on coronary heart disease (fatal and non-fatal myocardial infarction or sudden death)
2783,Adverse-effects,clinical and functional scale scores
2784,Adverse-effects,transient dyskinesias
2785,Adverse-effects,increase
2786,Adverse-effects,platelet counts
2787,Adverse-effects,Minor bleeding
2788,Adverse-effects,"risk factors, psychological well-being, functional capacity, and work resumption"
2829,Adverse-effects,interlocking and instability
2789,Adverse-effects,untoward effects
2791,Adverse-effects,"Hb, Hct, FEP, and ferritin"
2792,Adverse-effects,adverse event frequency
2793,Adverse-effects,tachycardia
2794,Adverse-effects,adverse events
2795,Adverse-effects,"appetite, fatigue, and early morning awakening )"
2796,Adverse-effects,fungal colonization
2797,Adverse-effects,severe vomiting
2798,Adverse-effects,acute and late toxicity
2799,Adverse-effects,"incidence of postoperative vomiting, or length of time spent in the recovery room"
2800,Adverse-effects,local inflammation
2801,Adverse-effects,infarction
2790,Adverse-effects,AEs
2830,Adverse-effects,superior visual discrimination ability
2831,Adverse-effects,SVR
2832,Adverse-effects,stimulated or unstimulated saliva measurements
2861,Adverse-effects,swollen joints
2862,Adverse-effects,acute nausea
2863,Adverse-effects,iron deficiency anaemia
2864,Adverse-effects,hypotension
2865,Adverse-effects,ocular complications nor systemic toxicity
2866,Adverse-effects,Bone growth defects related to radiotherapy
2867,Adverse-effects,hypersensitivity
2868,Adverse-effects,bronchoconstrictions
2869,Adverse-effects,improvement over time
2870,Adverse-effects,serious side effects
2871,Adverse-effects,osteocalcin levels
2860,Adverse-effects,"Naltrexone Side Effects Rating Scale (SE), Conners Parent Impulsivity/Hyperactivity Factor, Teacher Hyperactivity Factor"
2872,Adverse-effects,peak oxygen uptake
2874,Adverse-effects,Mild systemic and injection site reactions
2875,Adverse-effects,Anti-inflammatory effects
2876,Adverse-effects,PA pressure
2877,Adverse-effects,"Absence of adverse effects, biochemical abnormalities, changes in clinical blood and urine"
2878,Adverse-effects,caries-preventive effects
2879,Adverse-effects,Hearing loss
2880,Adverse-effects,Serious related adverse events
2881,Adverse-effects,adverse-event profile
2882,Adverse-effects,feasibility and anti-inflammatory effects
2883,Adverse-effects,severe wasting
2884,Adverse-effects,progression of left ventricular dilation
2873,Adverse-effects,blood loss
2557,Adverse-effects,change in heart rate and oxygen saturation
2859,Adverse-effects,preventing breast cancer
2857,Adverse-effects,"food refusal, and stomach upset"
2833,Adverse-effects,"appetite loss, fatigue, and dyspnea )"
2834,Adverse-effects,surgical and anesthesia complications
2835,Adverse-effects,"Behavior, attention, and orientation"
2836,Adverse-effects,incidence of deep venous thrombosis
2837,Adverse-effects,release of metal ions
2838,Adverse-effects,frequency of dose reductions for toxic side-effects
2839,Adverse-effects,urinary protein excretion increased
2840,Adverse-effects,H pylori infection
2841,Adverse-effects,Common Terminology Criteria for Adverse Events
2842,Adverse-effects,early postoperative complications
2843,Adverse-effects,some complications
2858,Adverse-effects,hoarseness
2844,Adverse-effects,hypoxia
2846,Adverse-effects,incidence density
2847,Adverse-effects,high bone resorption
2848,Adverse-effects,hypotension and emesis
2849,Adverse-effects,Atrial fibrillation
2850,Adverse-effects,adverse reactions
2851,Adverse-effects,fetal hyperglycemia
2852,Adverse-effects,veno-occlusive disease of the liver
2853,Adverse-effects,packed red blood cells
2854,Adverse-effects,increase of the toxicity
2855,Adverse-effects,changes in clinical blood and urine
2856,Adverse-effects,excoriation
2845,Adverse-effects,infection-related
2556,Adverse-effects,Body mass index (BMI) and waist circumference did not change
2555,Adverse-effects,result of adverse events
2554,Adverse-effects,morning stiffness
2255,Adverse-effects,Clinical effects
2256,Adverse-effects,intolerable toxicity
2257,Adverse-effects,overall QOL
2258,Adverse-effects,impaired circumferential and longitudinal strain and strain rate
2259,Adverse-effects,log reduction in HBV DNA
2260,Adverse-effects,severity of immediate bleeding
2261,Adverse-effects,Adverse effects included sedation and fatigue
2262,Adverse-effects,Severe neutropenia
2263,Adverse-effects,significantly lower
2264,Adverse-effects,Possible drug-related adverse events
2265,Adverse-effects,Non-fatal perioperative complications
2266,Adverse-effects,Feasibility
2267,Adverse-effects,"side effects, toxicity"
2268,Adverse-effects,reducing postoperative complications
2269,Adverse-effects,reduced glucose excursions
2270,Adverse-effects,remission
2271,Adverse-effects,abnormal TSH response to TRH during starvation
2272,Adverse-effects,mild-to-moderate constitutional symptoms
2273,Adverse-effects,"CR rate, CR duration, or survival"
2274,Adverse-effects,whole body glucose disposal
2275,Adverse-effects,knee rehabilitation
2276,Adverse-effects,microvascular complications
2277,Adverse-effects,"Intra-operative blood loss, post-operative blood loss, blood transfusion rates, operative morbidity, uterine blood flow and ovarian function"
2254,Adverse-effects,"rates of recurrence, disease-free and overall survival"
2253,Adverse-effects,scabbing
2252,Adverse-effects,incidence of nausea and vomiting
2251,Adverse-effects,febrile convulsions
2227,Adverse-effects,skin changes
2228,Adverse-effects,self-report scale named visual analog scale (VAS) of pain
2229,Adverse-effects,rates of side effects
2230,Adverse-effects,long-term effect
2231,Adverse-effects,concentration-time curve at steady state
2232,Adverse-effects,"nausea, vomiting, diarrhea, in addition to complications of femoral-arterial thrombosis, bleeding, and infection at the catheter site"
2233,Adverse-effects,azotemia
2234,Adverse-effects,tiredness
2235,Adverse-effects,non-inferiority of lumiracoxib
2236,Adverse-effects,changes in serum electrolytes
2237,Adverse-effects,mild diarrhoea
2278,Adverse-effects,restlessness
2238,Adverse-effects,weight loss or significantly affect energy expenditure
2240,Adverse-effects,nurse and patient communication profiles
2241,Adverse-effects,risk of age-related macular degeneration
2242,Adverse-effects,skin reactions
2243,Adverse-effects,severity of esophageal symptoms
2244,Adverse-effects,absolute bioavailability
2245,Adverse-effects,reliability
2246,Adverse-effects,therapist fidelity
2247,Adverse-effects,rates of intracerebral hemorrhage
2248,Adverse-effects,hot flushes
2249,Adverse-effects,positive nitrogen balance
2250,Adverse-effects,cervical wound hematoma
2239,Adverse-effects,shaking chills
2226,Adverse-effects,caregivers ' reaction ratings
2279,Adverse-effects,Nausea and vomiting
2281,Adverse-effects,unwanted effects
2310,Adverse-effects,transplant-related complications
2311,Adverse-effects,grade of acute rejection episodes
2312,Adverse-effects,N1 latencies
2313,Adverse-effects,response
2314,Adverse-effects,incidence of major bleeding
2315,Adverse-effects,skin reaction
2316,Adverse-effects,coronary events
2317,Adverse-effects,early stroke recurrence
2318,Adverse-effects,pyrexia
2319,Adverse-effects,no severe drug-related side effects
2320,Adverse-effects,irritability during acupuncture
2321,Adverse-effects,incidence of vaccine-related serious adverse experiences (AEs)
2322,Adverse-effects,Treatment-emergent adverse events (maintenance phase)
2323,Adverse-effects,Untoward side-effect incidence
2324,Adverse-effects,risk of recurrence
2325,Adverse-effects,Fibrinogen
2326,Adverse-effects,"AWS symptoms (tremor, sweating, nausea, restlessness)"
2327,Adverse-effects,heartburn
2328,Adverse-effects,suppression of the HPA axis
2329,Adverse-effects,effects of antipsychotic medication
2330,Adverse-effects,sedative-like effects
2331,Adverse-effects,complications rates
2332,Adverse-effects,did not reduce the rate of postoperative lymphocysts
2309,Adverse-effects,increased Arousal and Vigor
2308,Adverse-effects,pulmonary embolism
2307,Adverse-effects,Chronic constipation
2306,Adverse-effects,Gastrointestinal side effects
2282,Adverse-effects,Urinary excretion of phenylethylamine
2283,Adverse-effects,number of infants requiring intermittent positive pressure ventilation
2284,Adverse-effects,swollen joint count
2285,Adverse-effects,neutropaenia
2286,Adverse-effects,graft loss
2287,Adverse-effects,incidence of grade 3 or higher haematological toxicity
2288,Adverse-effects,side effect
2289,Adverse-effects,pain on the site of injection
2290,Adverse-effects,grade 3/4 toxicities
2291,Adverse-effects,walking difficulties
2292,Adverse-effects,procedure-related vessel perforation
2280,Adverse-effects,gingival overgrowth )
2293,Adverse-effects,Vomiting
2295,Adverse-effects,latex sensitivity
2296,Adverse-effects,incidence and magnitude of febrile temperatures
2297,Adverse-effects,Generalizability and durability of treatment effects
2298,Adverse-effects,treatment-limiting adverse effects
2299,Adverse-effects,local injection of 5 mg tropisetron
2300,Adverse-effects,"severe nausea, retching, or vomiting"
2301,Adverse-effects,HDAC activity and IGF-I levels
2302,Adverse-effects,some degree of urinary retention
2303,Adverse-effects,delayed wound healing
2304,Adverse-effects,flow-rate values
2305,Adverse-effects,agglutination
2294,Adverse-effects,severe adverse
2225,Adverse-effects,anxiety symptoms
2224,Adverse-effects,"weight gain, fluid retention, and dyspnea"
2223,Adverse-effects,overall survival
2144,Adverse-effects,infectious complications
2145,Adverse-effects,oral irritation
2146,Adverse-effects,accidental needle injuries
2147,Adverse-effects,higher number of headaches
2148,Adverse-effects,mucositis
2149,Adverse-effects,clinical pathology measurements
2150,Adverse-effects,improvement of relevant complications
2151,Adverse-effects,seasonal allergic conjunctivitis
2152,Adverse-effects,increases in the blood flow
2153,Adverse-effects,nausea and vomiting
2154,Adverse-effects,scarring
2155,Adverse-effects,loss of appetite and shivering
2156,Adverse-effects,late complication (port site hernia)
2157,Adverse-effects,time effects
2158,Adverse-effects,erythema
2159,Adverse-effects,serious side effects or abnormal laboratory tests
2160,Adverse-effects,Pain
2161,Adverse-effects,carotid IMT
2162,Adverse-effects,thrombosis
2163,Adverse-effects,median duration of granulocytes
2164,Adverse-effects,risk of surgical site infection
2165,Adverse-effects,toxicity
2166,Adverse-effects,"(choroidal detachment, hyphema, leakage)"
2143,Adverse-effects,Effects on inflammation
2142,Adverse-effects,Goal Attainment Scaling scores
2141,Adverse-effects,use of instrumental vaginal delivery
2140,Adverse-effects,apoptotic index (AI) and an MIB-1 index (MI)
2116,Adverse-effects,bipolar type
2117,Adverse-effects,incidence of cardiovascular complications
2118,Adverse-effects,intensity of the IES rose with time
2119,Adverse-effects,quality of life
2120,Adverse-effects,Emotional
2121,Adverse-effects,treatment failures
2122,Adverse-effects,Five-year local failure rates
2123,Adverse-effects,color changes
2124,Adverse-effects,"incidences of adverse events, disease progression, and HIV-associated conditions"
2125,Adverse-effects,bleeding complications
2126,Adverse-effects,technical problems
2167,Adverse-effects,grade 4 events
2127,Adverse-effects,"sedation, pyrexia, and upper respiratory tract infection"
2129,Adverse-effects,immunosuppression
2130,Adverse-effects,severity of cognitive dysfunction
2131,Adverse-effects,fatty acid composition of the plasma lipid esters
2132,Adverse-effects,associated serious adverse events
2133,Adverse-effects,SES
2134,Adverse-effects,side effects of drowsiness and decreased activity
2135,Adverse-effects,incidence of metal allergy
2136,Adverse-effects,relapse-free rate of the high-risk patients
2137,Adverse-effects,apnea occurring for more than 30 seconds
2138,Adverse-effects,isolated from the throat flora
2139,Adverse-effects,nonhematologic adverse events
2128,Adverse-effects,local septic complications
2168,Adverse-effects,side effects and efficacy or behavior problems
2169,Adverse-effects,allergic reactions
2170,Adverse-effects,overactive bladder symptoms relief
2199,Adverse-effects,tension and fatigue
2200,Adverse-effects,complication incidence
2201,Adverse-effects,hazard ratios (HRs)
2202,Adverse-effects,hormone values
2203,Adverse-effects,"percentages of OKT3+, OKT4+, OKT8+ cells"
2204,Adverse-effects,incidence of complications
2205,Adverse-effects,lower pH
2206,Adverse-effects,"polymorphonuclear neutrophils (PMNs), interleukin 6 (IL-6), IL-8, alpha1-antitrypsin, and tissue plasminogen activator"
2207,Adverse-effects,No adverse events
2208,Adverse-effects,EI caused the number of stimuli in the array to decrease
2209,Adverse-effects,moderate compensated acidosis
2198,Adverse-effects,CD4 (+) cell count
2210,Adverse-effects,water loss
2212,Adverse-effects,VTE
2213,Adverse-effects,onset of analgesic effect
2214,Adverse-effects,toxic effects
2215,Adverse-effects,nausea and vomiting
2216,Adverse-effects,Long-term consequences
2217,Adverse-effects,discomfort and nausea
2218,Adverse-effects,urinary levels of cobalt and chromium
2219,Adverse-effects,respiratory muscle strength
2220,Adverse-effects,repeated convulsions
2221,Adverse-effects,bronchoconstrictor response to stimuli of low
2222,Adverse-effects,Total suture line bleeding
2211,Adverse-effects,hematologic
2333,Adverse-effects,effect
2197,Adverse-effects,drug-related AEs
2195,Adverse-effects,"adverse events, blood pressure, heart rate, visual acuity, contrast sensitivity scanning laser ophthalmoscopy, or Heidelberg Retinal Flowmeter"
2171,Adverse-effects,rate of complications
2172,Adverse-effects,"analysis, and maternal side-effects including nausea, vomiting, pruritus, urinary retention, shivering, hypotension, and respiratory depression"
2173,Adverse-effects,frequencies of systemic AEs
2174,Adverse-effects,stent related complications
2175,Adverse-effects,FSFI desire score
2176,Adverse-effects,rate of severe visual loss
2177,Adverse-effects,"blisters, teleangiectatic matting, scar formation, and bruising from bandaging"
2178,Adverse-effects,increase in circulating blood glucose
2179,Adverse-effects,colonic transit
2180,Adverse-effects,little side effects
2181,Adverse-effects,postrecall recognition
2196,Adverse-effects,postoperative neurocognitive dysfunction
2182,Adverse-effects,amount of antiemetic medication used
2184,Adverse-effects,"CR rates, CR duration, or survival"
2185,Adverse-effects,coronary restenosis
